id:1, distance:4.529451670059055
id:2, distance:3.308300588105266
id:3, distance:2.4365206346992494
id:4, distance:1.4031478043758376
id:5, distance:0.9088375927569394
id:6, distance:4.529451670059055
id:7, distance:4.127189838752262
id:8, distance:3.5640612978602717
id:9, distance:3.374887352488684
id:10, distance:2.877995295752036
id:11, distance:4.529424846452091
id:12, distance:3.545041431457414
id:13, distance:2.6084205509380354
id:14, distance:1.9446847092489137
id:15, distance:1.1561279986841924
id:16, distance:4.529451670059055
id:17, distance:3.2003154739889
id:18, distance:2.82125545834697
id:19, distance:2.185103386128542
id:20, distance:1.514378366522231
id:21, distance:4.5294852120310205
id:22, distance:3.6691616824147246
id:23, distance:2.9200625090531385
id:24, distance:1.799950498755536
id:25, distance:1.30200250558407
id:26, distance:4.529451670059055
id:27, distance:4.114066336009341
id:28, distance:3.5236000043695666
id:29, distance:2.7694106408153254
id:30, distance:1.764596582895399
id:31, distance:4.529364481590586
id:32, distance:4.189343055073923
id:33, distance:3.0503792789336446
id:34, distance:2.438691437895814
id:35, distance:1.5575382640896736
id:36, distance:4.529398027191787
id:37, distance:4.220455486407642
id:38, distance:3.8322727632369853
id:39, distance:3.3005964370770617
id:40, distance:2.403545858547847
id:41, distance:4.5294852120310205
id:42, distance:3.6879871269127737
id:43, distance:2.8052156170415348
id:44, distance:2.0771290428408773
id:45, distance:1.7508924733639943
id:46, distance:4.530323671397349
id:47, distance:3.700133517026813
id:48, distance:3.489879067433746
id:49, distance:2.394372060437993
id:50, distance:2.051255408863003
id:51, distance:4.5302900951955545
id:52, distance:4.238913747627962
id:53, distance:4.267941120897021
id:54, distance:3.1128305551519526
id:55, distance:2.0451569751369187
id:56, distance:4.530645576507632
id:57, distance:3.6567715454854812
id:58, distance:3.2002930436869117
id:59, distance:2.759652100961435
id:60, distance:1.4345489130511335
id:61, distance:4.53085350681986
id:62, distance:4.093974873103858
id:63, distance:3.779316641982584
id:64, distance:3.413967620412331
id:65, distance:3.2939196522925984
id:66, distance:4.530705953211955
id:67, distance:4.309648793808233
id:68, distance:3.2040526311036412
id:69, distance:2.9151204169596547
id:70, distance:2.471966558861769
id:71, distance:4.530705953211955
id:72, distance:3.5397736735646523
id:73, distance:2.5452070207829127
id:74, distance:1.7510485248326713
id:75, distance:1.1635173313879486
id:76, distance:4.530974265294261
id:77, distance:4.200469654250178
id:78, distance:3.3718906395547257
id:79, distance:2.1875034371768427
id:80, distance:1.281699025019333
id:81, distance:4.531148614426567
id:82, distance:3.6604134652399845
id:83, distance:2.9644368176578832
id:84, distance:2.584781979299778
id:85, distance:1.8409610957292621
id:86, distance:4.530974265294261
id:87, distance:3.925126976221612
id:88, distance:3.8588216037144516
id:89, distance:3.2492513621262478
id:90, distance:2.7453011981928808
id:91, distance:4.53126313492336
id:92, distance:4.106480131528419
id:93, distance:2.9552574396234204
id:94, distance:1.9018896658202653
id:95, distance:1.3044534858109953
id:96, distance:4.53126313492336
id:97, distance:4.174654314062545
id:98, distance:3.6043248996879607
id:99, distance:2.77439062052292
id:100, distance:1.9259964626979182
id:101, distance:4.531417601805796
id:102, distance:3.6075028176085797
id:103, distance:3.148036439143011
id:104, distance:2.8867937475304104
id:105, distance:2.394639080605142
id:106, distance:4.531302965934845
id:107, distance:4.378800203349352
id:108, distance:3.7187919088533135
id:109, distance:3.5155050562712336
id:110, distance:2.6609999398627187
id:111, distance:4.531302965934845
id:112, distance:4.098810484025005
id:113, distance:3.8438508179966253
id:114, distance:3.1182695609299578
id:115, distance:2.239386223795962
id:116, distance:4.53139013601282
